epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5903.14,1.06623,0.63905,0.86052,0.56687,0.44115,0.46064,0.28398,1.12697,0.7948,0.87293,0.004456,0.004456,0.004456
86,5973.85,1.07046,0.64072,0.86083,0.58312,0.43006,0.45983,0.28239,1.12323,0.79504,0.87312,0.00439,0.00439,0.00439
87,6044.75,1.06809,0.63703,0.86015,0.57681,0.43725,0.46114,0.28462,1.12281,0.79309,0.87296,0.004324,0.004324,0.004324
88,6115.04,1.06126,0.6327,0.8598,0.57461,0.43915,0.4626,0.28577,1.12294,0.79107,0.87283,0.004258,0.004258,0.004258
89,6184.47,1.06068,0.63028,0.85905,0.57085,0.43878,0.46126,0.28598,1.1225,0.79414,0.87258,0.004192,0.004192,0.004192
90,6254.34,1.05606,0.63042,0.85951,0.58522,0.43066,0.46081,0.28449,1.12282,0.7939,0.8723,0.004126,0.004126,0.004126
91,6322.97,1.05603,0.62741,0.858,0.59023,0.42736,0.46012,0.28425,1.12394,0.79607,0.87253,0.00406,0.00406,0.00406
92,6391.89,1.05598,0.62439,0.85789,0.56656,0.43896,0.45946,0.28416,1.12256,0.79617,0.8722,0.003994,0.003994,0.003994
93,6459.87,1.05456,0.62123,0.85729,0.57275,0.43478,0.45798,0.28273,1.12153,0.79737,0.87152,0.003928,0.003928,0.003928
94,6528.5,1.04872,0.61575,0.85612,0.56576,0.43936,0.45898,0.28315,1.12156,0.79653,0.87197,0.003862,0.003862,0.003862
95,6596.56,1.04592,0.61639,0.85663,0.57839,0.43493,0.46177,0.28459,1.12067,0.79568,0.8717,0.003796,0.003796,0.003796
96,6664.61,1.04566,0.61366,0.85611,0.57097,0.43951,0.46267,0.28448,1.12136,0.79531,0.87202,0.00373,0.00373,0.00373
97,6732.45,1.04873,0.61286,0.85592,0.57744,0.43815,0.46306,0.28472,1.12268,0.79626,0.87197,0.003664,0.003664,0.003664
98,6800.65,1.03498,0.60678,0.85511,0.58513,0.43269,0.4624,0.28427,1.1241,0.79901,0.87246,0.003598,0.003598,0.003598
99,6868.7,1.03877,0.60523,0.85428,0.57853,0.43782,0.46077,0.28301,1.12651,0.80217,0.87247,0.003532,0.003532,0.003532
100,6936.99,1.03783,0.60284,0.85394,0.58259,0.43874,0.46136,0.28374,1.1273,0.80267,0.87272,0.003466,0.003466,0.003466
